Region, Section, Index, State, EmptyTime, Bookmark
GJGQ,5,45,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,46,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,47,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,48,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,49,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,50,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,51,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,52,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,53,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,54,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,55,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,56,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,57,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,58,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,59,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,0,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,1,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,2,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,3,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,4,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,5,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,6,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,7,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,8,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,9,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,10,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,11,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,12,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,13,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,14,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,15,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,16,EMPTY,12/20/2019 5:29:35 PM,False
GJGQ,6,17,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,18,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,19,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,20,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,21,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,22,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,23,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,24,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,25,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,26,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,27,EMPTY,12/20/2019 1:29:32 PM,False
GJGQ,6,28,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,29,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,30,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,31,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,32,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,33,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,34,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,35,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,36,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,37,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,38,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,39,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,40,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,41,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,42,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,43,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,44,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,45,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,46,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,47,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,48,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,49,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,50,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,51,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,52,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,53,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,54,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,55,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,56,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,57,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,58,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,6,59,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,0,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,1,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,2,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,3,OCCUPIED,12/31/9999 11:59:59 PM,False
